petMar1	Lamprey	Petromyzon marinus
droWil1	D. willistoni	Drosophila willistoni
dp4	D. pseudoobscura	Drosophila pseudoobscura
felCat3	Cat	Felis catus
bosTau3	Cow	Bos taurus
homIni14	Hominidae	Hominidae
equCab2	Horse	Equus caballus
turTru1	Dolphin	Tursiops truncatus
droEre2	D. erecta	Drosophila erecta
rn2	Rat	Rattus norvegicus
macEug1	Wallaby	Macropus eugenii
galGal2	Chicken	Gallus gallus
hg15	Human	Homo sapiens
sc1	SARS coronavirus	SARS coronavirus
fr1	Fugu	Takifugu rubripes
ce1	C. elegans	Caenorhabditis elegans
falciparum	P. falciparum	Plasmodium falciparum
cb1	C. briggsae	Caenorhabditis briggsae
sacCer1	S. cerevisiae	Saccharomyces cerevisiae
panTro1	Chimp	Pan troglodytes
hg16	Human	Homo sapiens
rn3	Rat	Rattus norvegicus
dm1	D. melanogaster	Drosophila melanogaster
cavPor3	Guinea pig	Cavia porcellus
mm6	Mouse	Mus musculus
ce2	C. elegans	Caenorhabditis elegans
danRer2	Zebrafish	Danio rerio
droEre1	D. erecta	Drosophila erecta
monDom1	Opossum	Monodelphis domestica
apiMel1	A. mellifera	Apis mellifera
dp3	D. pseudoobscura	Drosophila pseudoobscura
droVir1	D. virilis	Drosophila virilis
droMoj1	D. mojavensis	Drosophila mojavensis
xenTro1	X. tropicalis	Xenopus tropicalis
droAna1	D. ananassae	Drosophila ananassae
dm2	D. melanogaster	Drosophila melanogaster
cb2	C. briggsae	Caenorhabditis briggsae
hg17	Human	Homo sapiens
droYak1	D. yakuba	Drosophila yakuba
echTel1	Tenrec	Echinops telfairi
droGri1	D. grimshawi	Drosophila grimshawi
anoGam1	A. gambiae	Anopheles gambiae
danRer1	Zebrafish	Danio rerio
ci1	C. intestinalis	Ciona intestinalis
cioSav1	C. savignyi	Ciona savignyi
canFam1	Dog	Canis lupus familiaris
dp2	D. pseudoobscura	Drosophila pseudoobscura
tetNig1	Tetraodon	Tetraodon nigroviridis
gorGor2	Gorilla	Gorilla gorilla gorilla
taeGut1	Zebra finch	Taeniopygia guttata
apiMel2	A. mellifera	Apis mellifera
droMoj2	D. mojavensis	Drosophila mojavensis
droAna2	D. ananassae	Drosophila ananassae
bosTau2	Cow	Bos taurus
ci2	C. intestinalis	Ciona intestinalis
bosTau1	Cow	Bos taurus
rheMac1	Rhesus	Macaca mulatta
caeRem1	C. remanei	Caenorhabditis remanei
caePb2	C. brenneri	Caenorhabditis brenneri
droSim1	D. simulans	Drosophila simulans
homIni20	orang/human	Hominidae ancestor
strPur1	S. purpuratus	Strongylocentrotus purpuratus
canFam2	Dog	Canis lupus familiaris
ce3	C. elegans	Caenorhabditis elegans
oryCun1	Rabbit	Oryctolagus cuniculus
danRer3	Zebrafish	Danio rerio
dasNov1	Armadillo	Dasypus novemcinctus
loxAfr1	Elephant	Loxodonta africana
triCas1	T. castaneum	Tribolium castaneum
ce6	C. elegans	Caenorhabditis elegans
droVir2	D. virilis	Drosophila virilis
monDom2	Opossum	Monodelphis domestica
mm7	Mouse	Mus musculus
ce5	C. elegans	Caenorhabditis elegans
bosTau4	Cow	Bos taurus
priMat13	Primate	Primates
homIni13	Hominidae	Hominidae
hg18	Human	Homo sapiens
monDom5	Opossum	Monodelphis domestica
rn4	Rat	Rattus norvegicus
danRer5	Zebrafish	Danio rerio
droYak2	D. yakuba	Drosophila yakuba
canHg12	Boreoeutherian	BoreoEutheria
triCas2	T. castaneum	Tribolium castaneum
droPer1	D. persimilis	Drosophila persimilis
droSec1	D. sechellia	Drosophila sechellia
cioSav2	C. savignyi	Ciona savignyi
caeJap1	C. japonica	Caenorhabditis japonica
venter1	J. Craig Venter	Homo sapiens
rheMac2	Rhesus	Macaca mulatta
choHof1	Sloth	Choloepus hoffmanni
monDom4	Opossum	Monodelphis domestica
panTro2	Chimp	Pan troglodytes
mm8	Mouse	Mus musculus
danRer4	Zebrafish	Danio rerio
xenTro2	X. tropicalis	Xenopus tropicalis
borEut13	Boreoeutherian	BoreoEutheria
galGal3	Chicken	Gallus gallus
afrOth13	Afrotheria	Afrotheria
euaGli13	Euarchontoglires	Euarchontoglires
eutHer13	Eutheria	Eutheria
gliRes13	Glires	Glires
lauRas13	Laurasiatheria	Laurasiatheria
nonAfr13	Non-Afrotheria	Non-Afrotheria
rodEnt13	Rodent	Rodents
catArr1	Catarrhini	Catarrhini
droVir3	D. virilis	Drosophila virilis
gasAcu1	Stickleback	Gasterosteus aculeatus
droAna3	D. ananassae	Drosophila ananassae
dm3	D. melanogaster	Drosophila melanogaster
droMoj3	D. mojavensis	Drosophila mojavensis
droGri2	D. grimshawi	Drosophila grimshawi
oryLat1	Medaka	Oryzias latipes
otoGar1	Bushbaby	Otolemur garnettii
ornAna1	Platypus	Ornithorhynchus anatinus
tupBel1	Tree shrew	Tupaia belangeri
fr2	Fugu	Takifugu rubripes
braFlo1	Lancelet	Branchiostoma floridae
equCab1	Horse	Equus caballus
anoCar1	Lizard	Anolis carolinensis
caePb1	C. brenneri	Caenorhabditis brenneri
priPac1	P. pacificus	Pristionchus pacificus
ce4	C. elegans	Caenorhabditis elegans
cb3	C. briggsae	Caenorhabditis briggsae
strPur2	S. purpuratus	Strongylocentrotus purpuratus
